CC	CC Nombre	Región	Colonia	Delegacion_ Municipio	Ciudad	Estado
38289	Tezontle l	Centro Sur	Dr Alfonso Ortiz Tirado	Iztapalapa	Ciudad De México	Ciudad De México
38290	Cordilleras	Occidente	Jardines Tepeyac	Zapopan	Guadalajara	Jalisco
38291	Reforma 222 II	Centro Centro	Juárez	Cuauhtémoc	Ciudad De México	Ciudad De México
38292	Jesús del Monte	Centro Poniente	Jesús Del Monte 	Huixquilucan	Estado De México	Estado De México
38294	Plaza Tanarah	Norte	Del Valle	San Pedro Garza	San Pedro Garza	Nuevo León
38295	Campestre Queretaro	Bajío	Jardines De La Hacienda 	Corregidora 	Querétaro	Querétaro
38296	Altabrisa	Sureste	Fraccionamiento Altabrisa	Merida	Merida	Yucatán
38297	T2 Salida Internacional	Centro Centro	Zona Federal Aeropuerto Internal Ciudad De Mexico	Venustiano Carranza	Ciudad De México	Ciudad De México
38298	T2 Salida Nacional	Centro Centro	Zona Federal Aeropuerto Internal Ciudad De Mexico	Venustiano Carranza	Ciudad De México	Ciudad De México
38299	T2 Llegadas	Centro Centro	Otra No Especificada En El Catalogo	Venustiano Carranza	Ciudad De México	Ciudad De México
38300	El campestre Cd Juarez	Norte Centro	Rincones De San Marcos	Ciudad  Juarez	Cd. Juárez	Chihuahua
38302	Himalaya	Norte Centro	San Luis Potosí	San Luis Potosí	San Luis Potosí	San Luis Potosí
38303	Plaza Fiesta San Agustin Int	Norte	Residencial San Agustin	San Pedro Garza	San Pedro Garza	Nuevo León
38304	Copernico	Occidente	Arboledas	Zapopan	Guadalajara	Jalisco
38305	Centro San Miguel de Allende 	Bajío	Zona Centro 	San Miguel Allende	San Miguel Allende	Guanajuato
38306	Irapuato 1	Bajío	Ejido Irapuato 	Irapuato	Irapuato	Guanajuato
38307	Plaza Lienzo Mexicalli	Noroeste	Rivera	Mexicali	Mexicali	Baja California
38309	Morelia Camelinas	Occidente	Col. La Loma	Morelia	Morelia	Michoacán
38310	La Rosita	Norte Centro	Campestre La Rosita	Torreón	Torreón	Coahuila
38311	Lomas SLP	Norte Centro	San Luis Potosí	San Luis Potosí	San Luis Potosí	San Luis Potosí
38312	La Salle	Centro Centro	Hipodromo Condesa 	Cuauhtémoc	Ciudad De México	Ciudad De México
38313	Constitucion	Norte	Centro	Monterrey	Monterrey	Nuevo León
38314	Tecos	Occidente	Lomas Del Valle	Zapopan	Guadalajara	Jalisco
38315	Celaya Lopez Mateos 	Bajío	Zona Centro 	Celaya	Celaya	Guanajuato
38316	Paseo del Triunfo de la Republica	Norte Centro	Monumental	Ciudad  Juarez	Cd. Juárez	Chihuahua
38317	Playacar	Sureste	Playacar	Solidaridad	Playa Del Carmen	Quintana Roo
38318	Garcia Salinas	Norte Centro	La Estancia	Zacatecas	Zacatecas	Zacatecas
38319	Tecnologico Metepec	Centro Poniente	San Salvador Tizatlalli	Metepec	Toluca	Estado De México
38320	Cualiacan Tres Rios	Noroeste	Fracc. Desarrollo Tres Rios	Culiacán	Culiacán	Sinaloa
38321	Periferico de la Juventud	Norte Centro	Las Haciendas	Chihuahua	Chihuahua	Chihuahua
38322	MM Garza Sada	Norte	Tecnologico	Monterrey	Monterrey	Nuevo León
38323	Forum Culiacan	Noroeste	Desarrollo Urbano 3 Rios	Culiacán	Culiacán	Sinaloa
38324	Epicentra DT	Occidente	San Juan De Ocotan	Zapopan	Guadalajara	Jalisco
38325	Plaza del Sol CHI	Norte Centro	Puerta De Hierro	Chihuahua	Chihuahua	Chihuahua
38326	Galerias del Valle Mexicalli	Noroeste	El Porvenir	Mexicali	Mexicali	Baja California
38328	Circuito Colonias 	Sureste	Mexico	Merida	Merida	Yucatán
38329	Las Misiones	Norte Centro	Partido Iglesias	Ciudad  Juarez	Cd. Juárez	Chihuahua
38330	Guadalupe	Occidente	Rinconada Guadalupe	Zapopan	Guadalajara	Jalisco
38331	Rodriguez	Noroeste	Cruz Galvez	Hermosillo	Hermosillo	Sonora
38332	Tec Gudalajara	Occidente	Nuevo Mexico 	Zapopan	Guadalajara	Jalisco
38333	Izcalli Mega	Centro Norte	Cuatitlan Izcalli 	Cuatitlan Izcalli 	Estado De México	Estado De México
38334	Mazatlan Lomas	Noroeste	Lomas De Mazatlan	Mazatlán	Mazatlan	Sinaloa
38335	Asuncion AGS	Norte Centro	Agricultura	Aguascalientes	Aguascalientes	Aguascalientes
38336	Anahuac	Norte	Anahuac	Monterrey	San Nicolas	Nuevo León
38337	Centro Zacatecas	Norte Centro	Centro Zacatecas 	Zacatecas	Zacatecas	Zacatecas
